Date,QTR1
1969Q1,17.69
1969Q2,17.42
1969Q3,4.91
1969Q4,24.32
1970Q1,44.23
1970Q2,45.88
1970Q3,29.09
1970Q4,23.64
1971Q1,13.07
1971Q2,6.8
1971Q3,18
1971Q4,8.03
1972Q1,5.03
1972Q2,4.67
1972Q3,3.07
1972Q4,3.53
1973Q1,2.16
1973Q2,3.49
1973Q3,6.52
1973Q4,12.22
1974Q1,47.35
1974Q2,52.51
1974Q3,30.24
1974Q4,34.81
1975Q1,74.06
1975Q2,60.5
1975Q3,31.2
1975Q4,10.82
1976Q1,12.51
1976Q2,6.88
1976Q3,3.29
1976Q4,6.25
1977Q1,6.97
1977Q2,5.4
1977Q3,3.95
1977Q4,8.03
1978Q1,9.64
1978Q2,6.65
1978Q3,8.69
1978Q4,10.96
1979Q1,21.38
1979Q2,23.79
1979Q3,39.57
1979Q4,67.24
1980Q1,70.13
1980Q2,50.56
1980Q3,69.68
1980Q4,52.17
1981Q1,37.76
1981Q2,33.4
1981Q3,20.23
1981Q4,35.18
1982Q1,58.11
1982Q2,44.85
1982Q3,29.75
1982Q4,30.15
1983Q1,38.38
1983Q2,13.81
1983Q3,6.59
1983Q4,10.1
1984Q1,10.36
1984Q2,10.04
1984Q3,11.63
1984Q4,13.82
1985Q1,22.44
1985Q2,9.9
1985Q3,12.59
1985Q4,15.19
1986Q1,13.08
1986Q2,10.46
1986Q3,9.81
1986Q4,18.05
1987Q1,21.39
1987Q2,10.33
1987Q3,12.36
1987Q4,8.4
1988Q1,29.61
1988Q2,32.35
1988Q3,14.5
1988Q4,9.06
1989Q1,10.08
1989Q2,14.5
1989Q3,17.94
1989Q4,16.71
1990Q1,30.53
1990Q2,22.5
1990Q3,17.86
1990Q4,41.54
1991Q1,70
1991Q2,60.59
1991Q3,31.25
1991Q4,20.36
1992Q1,26.86
1992Q2,25.13
1992Q3,11.56
1992Q4,16.88
1993Q1,11.73
1993Q2,6.15
1993Q3,7.82
1993Q4,9.82
1994Q1,7.61
1994Q2,4.04
1994Q3,6.48
1994Q4,8.25
1995Q1,8.48
1995Q2,7.06
1995Q3,12.82
1995Q4,12.17
1996Q1,12.68
1996Q2,19.03
1996Q3,9.87
1996Q4,10.46
1997Q1,11.19
1997Q2,11.35
1997Q3,10.53
1997Q4,7.56
1998Q1,9.94
1998Q2,8.33
1998Q3,7.56
1998Q4,13.27
1999Q1,15.61
1999Q2,8.17
1999Q3,5.7
1999Q4,6.88
2000Q1,17.89
2000Q2,6.64
2000Q3,4.65
2000Q4,6.53
2001Q1,10.91
2001Q2,31.65
2001Q3,28.82
2001Q4,26.03
2002Q1,48.8
2002Q2,29.45
2002Q3,14.38
2002Q4,18.61
2003Q1,24.14
2003Q2,21.4
2003Q3,14.1
2003Q4,6.88
2004Q1,6.35
2004Q2,4.68
2004Q3,4.34
2004Q4,6.39
2005Q1,9.61
2005Q2,8.06
2005Q3,6.77
2005Q4,5.41
2006Q1,7.57
2006Q2,6.99
2006Q3,6.96
2006Q4,9.66
2007Q1,14.98
2007Q2,13.14
2007Q3,14
2007Q4,16.95
2008Q1,22.51
2008Q2,42.91
2008Q3,28.67
2008Q4,46.57
2009Q1,74.78
2009Q2,73.98
2009Q3,46.47
2009Q4,23.73
2010Q1,15.88
2010Q2,11.62
2010Q3,9.81
2010Q4,16.81
2011Q1,12.88
2011Q2,7.08
2011Q3,8.47
2011Q4,20.92
2012Q1,16.57
2012Q2,13.41
2012Q3,12.16
2012Q4,16.99
2013Q1,23.04
2013Q2,17.99
2013Q3,14.32
2013Q4,11.21
2014Q1,11.12
2014Q2,9.3
2014Q3,10.06
2014Q4,9.74
2015Q1,10.32
2015Q2,9.3
2015Q3,11.03
2015Q4,10.04
2016Q1,13
2016Q2,14.69
2016Q3,14.63
2016Q4,15.64
2017Q1,13.95
2017Q2,11.21
2017Q3,10.92
2017Q4,10.46
2018Q1,10.44
2018Q2,9.08
2018Q3,8.59
2018Q4,10.53
2019Q1,10.6
2019Q2,11.24
2019Q3,13.14
2019Q4,14.25
2020Q1,18.14
2020Q2,14.88
